Name,Type,km/s,MB,Diam kpc,SGX,SGY,SGZ,Log Lum
0445-57,10,978,-41.86,5.4,-6.5,-7.5,-8.9,0
U 3174,10,588,-54.97,4.8,3.6,-3,-6.7,8.44
0447-29,9,1290,-58.08,16.9,-0.6,-9,-14.4,9.44
N 1688,5,995,-40.24,9.1,-7.1,-7.5,-8.7,9.53
N 1679,10,870,-57.28,10.3,-1,-6.3,-9.9,0
0449-02,12,2100,-56.91,5.6,10.9,-10.3,-23.1,0
U 3190,5,1766,5.34,14.9,23.7,9,2.4,9.97
0450-28,10,1279,-58.85,7.9,-0.5,-8.7,-14.4,0
0450-25,9,1202,-59.94,23.4,0.4,-8,-13.8,9.35
0450-61,7,743,-39.07,6.7,-5.7,-5.7,-6.5,0
N 1690,-5,2100,-55.51,10.5,12.7,-9.2,-22.8,9.52
N 1703,3,1290,-40.64,17.8,-9.1,-9.5,-11.3,0
U 3203,12,937,-3.4,10.9,13.8,4,-0.9,9.71
N 1705,-2,409,-45.51,2.8,-2.6,-3.3,-4.2,8.68
0454-62,10,1170,-38.4,10.2,-9,-8.6,-9.9,0
0454-56,10,1540,-43.54,7.7,-9.7,-11.2,-14.1,0
N 1744,7,562,-61.28,23.5,0,-3.8,-6.9,9.42
U 3234,10,1370,-47.72,14.7,12.1,-3.3,-13.8,0
N 1796,5,759,-40.3,4.6,-5.8,-5.6,-6.8,9.2
0502+01,13,3000,-57.63,0,17.6,-11.5,-33.2,9.62
N 1809,12,1060,-33.33,12,-9.7,-7.5,-8.1,0
N 1784,5,2182,-63.15,30.2,6.7,-11.1,-25.6,10.34
N 1792,4,1003,-57.13,21,-2.7,-6.9,-11.4,10.24
N 1800,-2,522,-60.45,4.1,-0.7,-3.6,-6.5,8.7
0505-16,9,1889,-64.16,16,4,-10.1,-22.4,0
N 1808,0,782,-57.79,22.4,-2.1,-5.4,-9.2,10
N 1824,9,1012,-41.75,9.3,-7.4,-7.3,-9.3,0
0506-38,10,807,-57.4,13.3,-2.3,-5.5,-9.4,0
0506-09,10,2561,-63.41,14.7,9.1,-12,-30.1,0
0507-63,10,1225,-39.13,9.8,-9.6,-8.6,-10.5,0
0508-02,13,2729,-61.25,9.4,13.3,-10.9,-31.4,0
N 1827,6,836,-58.5,6.8,-2.2,-5.6,-9.9,0
0508-31,9,778,-61.42,8.5,-1.1,-5,-9.5,9.08
0509-14,6,1823,-65.08,20.4,4.3,-9.2,-21.9,10.16
0509+62,10,264,-9.29,8.1,4.3,1.1,-0.7,8.82
N 1832,4,1772,-65.24,16.5,3.8,-9.1,-21.3,10.26
0510-33,10,729,-60.99,11.3,-1.3,-4.8,-8.9,8.94
N 1853,7,1145,-44.05,6.8,-7.9,-8,-10.8,0
N 1843,7,2470,-64.93,20.9,7.9,-11.3,-29.5,0
0513-30,6,1279,-62.77,11.6,-1.5,-7.7,-15.3,0
U 3273,9,734,-17.69,12.3,10.7,2.2,-3.5,9.67
0515-37,5,1130,-59.47,16.2,-3,-7.2,-13.2,0
0516-21,10,1661,-66.55,13,1.3,-8.7,-20.4,0
N 1892,3,1115,-38,9.4,-9.4,-7.7,-9.5,0
N 1879,10,1038,-62.82,9.1,-1.7,-6.3,-12.7,9.3
0519-37,9,1079,-60.26,7.8,-2.9,-6.7,-12.8,0
N 1888,5,2160,-67.16,24.2,6.2,-9.2,-26.4,10.34
N 1889,-5,2322,-67.18,7.2,6.7,-9.9,-28.3,0
U 3303,9,437,-59.93,7.9,3.1,-1.3,-5.7,0
0524-69,9,12,-34.1,19.3,0,0,0,9.47
0525-16,6,2002,-69.12,14.8,3.6,-8.8,-24.9,9.91
N 1947,-2,866,-39.57,12,-7.3,-5.9,-7.7,9.68
U 3317,10,1424,0.37,15.4,19.7,7.5,0.1,0
N 1954,5,2977,-70.07,43.6,6.4,-11.8,-36.9,0
N 1964,3,1480,-69.7,29.8,0.6,-6.9,-18.8,10.37
N 1963,5,1098,-62.44,9.3,-3.1,-6.3,-13.4,0
0535-52,10,1030,-50.3,6.7,-6.4,-6.5,-11,0
0539-58,5,1088,-44.89,8.4,-8.2,-6.9,-10.7,0
0539-35,9,1044,-64.05,12.8,-2.9,-5.7,-13.1,0
0539-22,10,1532,-71.3,10.4,0.1,-6.7,-19.8,0
N 2082,4,849,-39.8,4.9,-7.4,-5.5,-7.7,9.24
0541-19,5,2559,-72.69,15.9,2.1,-9.9,-32.5,0
0542-52,10,832,-50.35,5.5,-5.5,-5.2,-9.1,0
N 2090,5,707,-65.96,17.9,-1.9,-3.7,-9.3,9.61
N 2101,10,939,-51.13,7,-6.1,-5.7,-10.3,0
N 2104,4,898,-51.65,6.7,-5.7,-5.4,-10,0
0548-14,8,728,-74.53,10,1.3,-2.5,-10.3,0
U 3371,10,1003,1.44,22.3,14.4,6.1,0.4,0
0550-17,6,2934,-75,34.2,2.8,-9.7,-37.6,0
0553+03,13,688,-65.93,6.3,4.1,-0.9,-9.4,9.06
0558-28,9,1166,-71.71,10.1,-2,-4.8,-15.6,8.99
U 3390,8,1534,-36.72,21.2,17.2,4,-13.1,0
N 2139,6,1632,-75.01,17.7,-0.8,-5.7,-21.6,10.16
0601-20,7,1776,-76.81,14.9,0.2,-5.5,-23.7,0
0602-26,7,1593,-74.32,20.5,-1.8,-5.7,-21.1,0
0603-33,5,553,-69.33,5.3,-1.6,-2.4,-7.7,0
N 2179,0,2549,-77.34,14,-0.5,-7.5,-33.4,10.01
0607-61,5,942,-43.1,11,-8.1,-5.5,-9.2,0
N 2188,9,515,-68.99,7.8,-1.7,-2.3,-7.4,9.34
0609-21,10,641,-78.08,7.1,-0.2,-2,-9.5,0
N 2196,2,2119,-78.17,25.2,-0.6,-5.9,-28.2,10.46
N 2146,2,1108,4.17,27.6,15.6,7.2,1.3,10.29
0613-26,10,1571,-75.71,11.5,-2.3,-4.9,-21.1,0
N 2207,4,2465,-79.21,45.7,-0.7,-6.2,-32.7,10.97
0615-27,3,1465,-75.37,16.8,-2.5,-4.6,-19.8,0
U 3439,5,1685,4.31,20.9,22.4,10.4,1.9,9.94
0616-70,7,1035,-34.46,0,-10.5,-6.1,-8.3,0
0618-08,5,561,-78.97,10.2,1.5,-0.7,-8.6,0
0618-16,6,2642,-81.75,24,2,-4.7,-35.4,10.28
0618-20,12,1767,-80.81,27.8,-0.2,-3.9,-24.1,0
N 2217,-2,1382,-76.09,28.5,-2.4,-4,-18.9,10.26
0621-59,3,1994,-45.52,25.2,-16,-10.2,-19.3,0
0621-86,1,1638,-18.97,20.3,-18.8,-9.7,-7.3,0
N 2223,4,2492,-79.87,29.5,-2,-5.6,-33.2,10.53
U 3463,4,2811,-15.01,29.5,34.7,14.6,-10.1,10.41
N 2227,6,1999,-80.67,19.3,-1.3,-4.3,-27.1,10.16
U 3475,9,512,-34.54,7.8,6.6,2.5,-4.9,8.94
0630-52,10,921,-52.96,5.9,-6.8,-4.3,-10.7,0
U 3496,10,1795,11.51,17.6,23,11.4,5.2,0
0635+75,13,972,1.31,3.6,13.8,6.6,0.4,0
U 3504,6,2222,-14.19,26.8,27.9,12.7,-7.7,10.43
0639-58,3,2325,-47.07,26.6,-18.6,-10.4,-23,0
U 3522,13,2346,10.6,20.4,29.2,14.6,6.1,9.52
U 3530,7,2224,-13.95,22.1,27.7,13.2,-7.6,10.07
N 2280,6,1651,-77.81,45.4,-3.9,-3,-22.7,10.6
0644-47,4,782,-58.09,7.2,-5.4,-3.1,-10,0
N 2273,1,1961,-13.47,27.4,24.8,12,-6.6,10.5
U 3574,6,1545,-17.13,29.7,19.8,9.7,-6.8,9.96
0649-52,6,808,-53.53,9.5,-6.3,-3.3,-9.7,0
U 3580,1,1356,-4.73,21.7,18.4,9.2,-1.7,10.18
U 3587,12,1173,-55.01,14.7,9.3,4.5,-14.7,9.82
U 3598,10,2110,-13.67,18.6,26.3,13.2,-7.2,9.6
N 2310,-2,917,-64.81,10.3,-5.2,-2.6,-12.3,9.64
N 2325,-5,1854,-76.87,23.6,-5.6,-1.9,-25.4,10.58
U 3647,10,1475,-17.75,9.7,18.7,9.9,-6.8,9.13
N 2268,4,2432,10.08,34.2,30.2,15.4,6,10.52
U 3658,10,1089,-56.62,9.4,8,4.7,-14.1,0
U 3685,3,1913,-12.67,32.6,24,12.9,-6.1,10.32
U 3691,6,2102,-58.98,20.1,13,8.3,-25.7,10.23
N 2339,4,2166,-55.38,24.4,14.9,9.3,-25.5,10.5
N 2337,10,467,-29.77,6.5,6.2,3.5,-4.1,9.14
U 3730,13,2868,-0.78,25.7,35.4,18.7,-0.5,9.78
N 2344,5,1002,-27.03,10.7,12.3,7.1,-7.2,9.62
N 2276,5,2619,11.48,30.1,32.1,16.4,7.3,10.67
N 2357,5,2201,-50.57,23.9,16.5,11.4,-24.3,10.03
0715-57,6,812,-48.15,6.4,-7.5,-3.1,-9.1,0
N 2300,-5,2168,11.45,40.7,27,13.9,6.1,10.51
N 2336,4,2386,5.94,51.5,29.8,15.7,3.5,10.99
U 3808,7,2317,-48.67,18.4,17.8,12.7,-24.9,9.71
U 3817,10,471,-28.89,4.6,6.2,3.9,-4,0
U 3826,7,1847,-12.4,30.2,23,13.3,-5.8,9.9
0720-72,10,1235,-32.84,0,-13.5,-6.1,-9.5,0
N 2397,5,1027,-36.52,9.6,-11,-4.8,-8.9,9.86
U 3834,5,2225,5.66,23.1,27.9,14.8,3.1,10.44
N 2377,3,2242,-80.49,31.6,1.1,5.1,-31.3,0
N 2366,10,248,-4.91,5.8,2.6,1.4,-0.3,8.87
U 3860,10,365,-33.03,4,5,3.4,-3.9,8.04
0726-45,10,722,-59.22,8.9,-5.6,-1.5,-9.7,0
N 2417,4,2891,-43.01,42.1,-26.6,-10.2,-26.6,10.7
0729-61,4,2920,-43.46,19.6,-26.7,-10.1,-27.1,0
0730-74,10,881,-30.45,7.9,-10.1,-4.5,-6.5,0
0731-68,9,253,-37.17,2.6,-3.2,-1.3,-2.6,0
U 3912,10,1073,-67.57,10.5,3.9,5.2,-15.8,9.38
N 2403,6,261,-8.33,26.2,3.6,2.2,-0.6,10.06
0733-46,5,2593,-57.66,25.9,-18.5,-4.5,-30,0
N 2427,8,689,-56.92,15.3,-5.8,-1.4,-9.2,9.8
N 2434,-5,1137,-36.04,8.6,-12.3,-5,-9.7,9.98
U 3946,10,1028,-68.24,7.2,3.4,5.1,-15.3,9.15
N 2442,4,1195,-35.76,31,-12.9,-5.2,-10,10.46
0737-55,3,2530,-49.63,20.2,-21.4,-6.5,-26.4,0
0737-50,9,789,-53.86,8.8,-6.9,-1.8,-9.8,0
U 3964,8,1271,-72.01,12,2.5,5.5,-18.7,9.26
U 3966,10,368,-33.17,5,5,3.8,-4.1,8.38
U 3974,10,153,-55.52,2.8,0.8,0.8,-1.7,7.48
U 3975,8,2639,-1.14,23.9,32.2,18.7,-0.7,9.81
0743-58,5,2615,-46.53,19.8,-23.4,-7.2,-25.9,0
0748-54,10,756,-49.8,9,-7.4,-1.9,-9,0
U 4093,3,1646,-13.02,8.7,20.1,13.7,-5.6,9.36
N 2460,1,1553,-12.95,24.8,19,13,-5.3,10
U 4115,10,214,-56.26,1.7,1,1.4,-2.6,7.6
U 4121,9,1180,-15.1,11,14.9,10.5,-4.9,9.04
0756-76,5,1498,-28.76,21.5,-17,-7,-10.1,0
0756-49,5,826,-53.5,17.2,-7.5,-1.2,-10.3,0
U 4148,7,747,-30.21,6.7,8.4,7.2,-6.4,8.69
N 2500,7,572,-21.96,8.3,7.4,5.7,-3.8,9.38
U 4173,10,1054,6.27,11.7,14.4,8.2,1.8,9.12
N 2525,5,1354,-72.31,16,-1.6,6.2,-20.1,10.15
0804-76,10,1486,-27.99,9.1,-17,-6.9,-9.8,0
U 4238,7,1714,2.83,18.6,21.9,13.1,1.3,9.96
U 4260,10,2284,-25.53,18.5,22.7,19.7,-14.4,9.61
N 2537,10,479,-25.84,4.5,6.1,5.4,-3.9,9.24
U 4278,7,591,-26.03,9.6,7.1,6.3,-4.6,9.17
0810-74,10,980,-30.26,6.7,-11.7,-4.4,-7.3,0
N 2541,6,596,-22.89,19.5,7.4,6.3,-4.1,9.54
U 4305,10,305,-2.39,10.2,3.7,2.5,-0.2,9.13
N 2559,5,1296,-67.62,32.1,-6.7,3.6,-18.5,0
N 2549,-2,1168,-14.48,17.6,14.4,11.2,-4.7,9.98
0815-29,7,1370,-66.16,37.8,-7.8,3.2,-19.1,0
N 2552,9,574,-21.73,10.2,7.1,6.1,-3.7,9.18
N 2544,-2,2949,0.75,43.4,34.9,22.1,0.5,10.5
N 2566,2,1377,-68.13,29.6,-6.6,4.3,-19.6,0
0818+71,10,262,-1.95,0,3.6,2.4,-0.1,0
N 2551,0,2375,0.29,16.9,28.7,18.4,0.2,10.06
N 2577,-3,2054,-46.14,17.1,11.8,17.8,-22.2,9.85
U 4390,7,2326,0.46,21.5,28.1,18.2,0.3,9.6
U 4393,12,2154,-25,21.4,20.9,20,-13.5,10.12
0822-60,5,2291,-42.07,15.8,-23.1,-5,-21.3,0
0824-53,12,758,-47.73,7.4,-8,-0.9,-8.8,0
U 4426,10,396,-28.53,3.3,3.8,4,-3,0
N 2601,-2,2953,-35.59,21,-31.2,-9.1,-23.3,0
0825+52,13,1773,-19.19,5.5,19.1,17,-8.9,0
U 4459,10,144,-6.09,1.1,1.6,1.2,-0.2,7.12
N 2591,5,1509,4.83,15.4,19.4,11.9,1.9,10.07
N 2613,3,1411,-65.73,33.9,-6.7,6.1,-20,10.69
0831-21,10,1511,-65.82,12.9,-6.7,6.7,-21.2,0
N 2608,3,2063,-39.61,17.2,13.6,19.7,-19.8,10.17
0833-31,8,1266,-61.84,21.3,-8.5,3.7,-17.3,0
U 4499,8,749,-19.07,10.5,8.9,8.3,-4.2,9.21
0834-26,10,604,-64.13,4.9,-3.8,2.6,-9.4,0
U 4508,13,1736,-61.41,4.7,-0.3,12.8,-23.4,9.36
U 4514,5,759,-17.3,7.6,9.1,8.4,-3.9,9.14
0839-74,7,1088,-28.88,11.1,-13.2,-4.6,-7.7,0
U 4543,8,1983,-23.88,27.2,18.7,20,-12.1,9.7
U 4559,4,2027,-37.19,18.8,13.6,20.4,-18.6,9.77
U 4576,3,2744,1.08,13.6,32.1,21.8,0.7,10.05
N 2633,3,2302,1.58,24.2,27.5,18.5,0.9,10.19
N 2663,-5,2020,-59.3,37.2,-14,5.7,-25.4,0
N 2654,1,1478,-10.69,19.1,17.4,14.8,-4.3,10.15
0848+73,13,2556,0.95,9.6,30,20.8,0.6,0
N 2655,0,1624,5.43,41.3,20.5,13,2.3,10.6
N 2683,3,373,-33.42,11.8,2.7,3.9,-3.1,9.78
N 2681,0,761,-18.19,14,8.9,9,-4.1,10.03
U 4646,6,1822,11.86,26.5,22.9,12.7,5.5,10.29
N 2685,-2,965,-11.59,21.8,11.8,10.6,-3.3,9.91
N 2714,-2,2421,-41.33,17.7,-25.1,-3,-22.2,0
N 2708,3,1795,-57.76,19.5,-1.8,14.7,-23.5,0
U 4683,10,999,-11.16,8.9,12.3,11.1,-3.3,0
N 2701,4,2391,-15.67,21.5,23.9,23.9,-9.5,10.21
U 4704,8,586,-27.95,7.1,4.6,6.2,-4.1,8.6
N 2712,3,1857,-23.12,20,16.9,20.1,-11.2,10.13
0857-68,5,1159,-33.27,13.5,-13.9,-3.4,-9.4,0
0859-26,9,1682,-58.73,17.2,-10.4,8.3,-21.9,0
N 2735,13,2534,-38.08,10.9,13.1,26.4,-23.1,9.78
0859+26,10,2694,-38.08,0,13.8,27.8,-24.3,0
N 2726,1,1526,-9.96,10.5,17.5,15.9,-4.1,9.99
N 2715,5,1304,5.63,22,17,11.1,2,10.22
N 2750,5,2600,-37.99,24.7,12.9,27.3,-23.6,10.44
U 4777,10,2019,-30.77,15.3,14.1,22.5,-15.8,9.49
N 2742,5,1393,-9.33,18.8,16.2,14.7,-3.6,10.12
U 4787,8,509,-31.74,3.9,3.4,5.7,-4.1,8.62
N 2763,6,1640,-58.28,15.8,-6.9,11.6,-21.8,10
N 2764,-2,2523,-40.54,16.4,10.3,26.5,-24.3,10.03
U 4797,9,1140,-50.59,14.9,0.9,12.4,-15.1,8.96
N 2770,5,1908,-31.61,23.3,12.8,21.7,-15.5,10.58
N 2732,-2,2206,6.71,14.9,26.6,17.1,3.7,10.06
0907-22,10,453,-57.46,3.9,-2.6,2.7,-5.9,0
0907-33,10,846,-54.9,5,-7.3,3.7,-11.6,0
N 2775,2,965,-49.51,22.3,1,11,-12.9,10.24
N 2768,-5,1503,-9.42,44.3,17.1,15.9,-3.9,10.64
0908-32,10,1251,-54.87,15.1,-10.2,5.3,-16.3,0
N 2748,4,1562,4.45,16.7,19.6,13.3,1.8,10.14
N 2788,12,1255,-33.51,6.4,-15,-3.2,-10.2,0
N 2776,5,2643,-21.83,36.2,22.1,28.2,-14.4,10.5
U 4837,9,1848,-29.38,16,13.3,21.4,-14.2,9.28
0909-14,10,1803,-57.16,15.5,-7.6,13.1,-23.4,9.34
N 2781,1,1778,-57.11,28.1,-7.4,13,-23.1,10.28
N 2778,-5,2017,-29.75,13.6,14,23,-15.4,9.98
U 4841,7,1289,2.6,22.6,16.6,11.8,0.9,9.63
N 2780,12,2173,-29.78,10.6,14.8,24.4,-16.3,9.67
0909-19,7,1914,-57.14,35.7,-10,12.2,-24.4,0
N 2784,-2,434,-56.72,13.7,-2.8,2.7,-5.9,9.68
N 2782,1,2529,-25.51,40.3,19.1,27.7,-16.1,10.51
0911-19,10,509,-56.88,5.1,-2.7,3.4,-6.7,0
N 2836,12,1422,-32.16,16.8,-17,-3.9,-11,0
0913+53,13,2286,-14.49,6,22.3,24.2,-8.5,9.34
U 4888,5,2417,2.36,31.5,28.1,20.4,1.4,10.34
0913-601,5,2620,-38.66,22.3,-28.2,-2.6,-22.7,0
0913-603,5,2701,-38.44,26.2,-29.1,-2.8,-23.2,0
N 2793,9,1636,-29.62,10,11.5,19.8,-13,9.51
N 2811,0,2260,-56.11,20.7,-10.1,15.8,-27.9,10.4
N 2815,3,2016,-55.88,29.2,-12.2,11.9,-25.1,10.46
N 2798,1,1710,-23.63,16.6,14.3,20.2,-10.8,10.06
N 2799,9,1739,-23.63,12.8,14.5,20.5,-11,9.67
N 2842,-2,2490,-36.7,22.2,-27.5,-3.6,-20.7,0
N 2787,-2,759,-1.35,13.7,10.2,8.1,-0.3,9.76
U 4922,9,2025,-18.83,29.7,18.4,22.7,-10,10.01
N 2835,5,620,-55.64,21.8,-4.2,4.4,-8.9,10.06
N 2805,7,1851,-5.48,52.3,20.9,18.5,-2.7,10.48
0916-62,5,1831,-36.68,18.4,-20.8,-2.6,-15.6,0
N 2814,13,1778,-5.31,10.3,20.2,17.9,-2.5,9.4
0917-12,10,1703,-54.74,11.7,-6.7,13.9,-21.8,0
0917+64,13,1582,-5.3,4.3,18.4,16.3,-2.3,9.14
N 2820,5,1691,-5.26,22,19.4,17.2,-2.4,10.04
N 2848,5,1789,-55.17,21,-8.6,13.3,-22.7,10.1
0918-12,10,1663,-54.58,9.2,-6.7,13.6,-21.4,0
N 2844,1,1477,-24.57,12,12.1,18.3,-10,9.61
N 2841,3,686,-15.99,20,7.5,8.8,-3.3,10.42
N 2855,0,1660,-54.3,18.4,-6.5,13.9,-21.3,10.11
0919-22,10,579,-54.82,7.8,-3.9,4.2,-8.1,0
0919-68,5,2072,-32.11,11.8,-23.9,-5.1,-15.4,0
N 2852,-2,1880,-24.39,10.3,14.6,22.3,-12.1,9.68
N 2853,1,1792,-24.35,14,14,21.5,-11.6,9.65
N 2865,-5,2443,-54.31,27.1,-14.6,14.9,-29,10.47
N 2859,-2,1557,-28.53,36.3,10.8,19.6,-12.2,10.34
N 2887,-5,2561,-35.55,17.6,-28.6,-3.7,-20.6,0
0922-24,4,2138,-53.82,14,-13.9,12.7,-25.7,9.74
N 2872,-5,2825,-43.89,23,3.8,29.6,-28.7,10.43
0923+19,13,2381,-38.93,9.4,7.5,26.9,-22.6,9.66
N 2888,-5,1952,-52.97,14.6,-14,10.8,-23.4,9.93
0925-31,10,794,-51.78,7.5,-7.2,4.4,-10.7,0
N 2880,-2,1621,-6.17,18.4,18.2,17.2,-2.7,10.03
0926-60,12,1918,-37.28,20,-21.7,-1.6,-16.6,0
N 2915,10,191,-26.03,1.5,-2.9,-0.9,-1.5,8.29
N 2893,0,1650,-31.29,10.2,9.3,20.9,-13.9,9.73
N 2902,-2,1816,-52.43,10.7,-8.7,14.9,-22.5,9.98
N 2907,1,1810,-52.44,14,-9.5,14.3,-22.3,10.01
N 2903,4,451,-36.44,18.4,1.4,4.8,-3.7,10.13
0930+55,13,826,-11.54,2.1,9.3,10.5,-2.9,0
0930-16,2,1868,-52.06,19.4,-9.9,14.8,-22.8,0
0931-32,9,640,-50.3,13.9,-6.1,3.6,-8.5,0
0931+11,13,2358,-42.43,0,2.4,26.3,-24.1,9.62
N 2935,4,2009,-51.33,45.6,-12.5,14.5,-23.9,10.89
N 2940,-3,2824,-42.36,13.4,1.6,30.7,-28,9.63
0935-22,7,2143,-51.04,21.6,-13.8,14.8,-25,0
U 5139,10,289,1.31,4.9,3.4,2.8,0.1,8.29
0936-38,7,2175,-47.4,24.2,-20,8.2,-23.5,0
U 5151,13,450,-16.16,1.8,3.9,5.3,-1.9,8.5
N 2955,3,1721,-25.17,11.3,11.4,22.3,-11.8,9.81
N 2962,-2,1937,-43.95,29.5,-1.1,22,-21.2,10.1
U 5172,9,2635,-15.76,22.6,22.1,30,-10.5,9.69
N 2950,-2,1452,-8.01,22.5,15.8,16.9,-3.2,10.2
0939+76,13,2526,5.43,9.5,29.3,21,3.4,9.39
N 2967,5,1963,-45.77,26.2,-3.4,21.3,-22.1,10.32
N 2964,4,1260,-27.74,16.6,7.8,17.8,-10.2,10.15
N 2974,-5,1786,-47.12,26.6,-4.9,18.8,-20.9,10.44
N 2968,3,1559,-27.63,14.4,9.2,21,-12,9.95
N 2970,-2,1629,-27.54,4.7,9.5,21.7,-12.3,9.28
0940-05,8,1734,-47.41,7.3,-5.5,18,-20.5,0
0941-05,7,1808,-47.55,20.2,-6,18.5,-21.2,0
N 2983,-2,1752,-49.72,18.4,-11.4,13.6,-20.9,10.08
0941-31,10,922,-48.35,8.8,-8.9,5.6,-11.8,0
N 2986,-5,2132,-49.58,24.5,-13.7,15.8,-24.6,10.47
0942-31,8,970,-48.26,12,-9.2,6,-12.3,9.52
N 2976,5,142,-0.81,2.8,1.6,1.4,0,8.64
U 5224,8,1756,-43.82,12.4,-2.3,20.4,-19.7,9.26
N 2992,1,1965,-48.83,28.5,-10.2,17.3,-22.9,10.4
0943-30,10,720,-48.41,8.1,-6.8,4.8,-9.4,0
N 2997,5,798,-48.25,41.5,-7.6,5.2,-10.3,10.49
N 2993,1,1970,-48.81,13.4,-10.2,17.3,-22.9,10.03
N 2990,5,2994,-42.51,14,-1.7,32.2,-29.6,10.31
N 3001,4,2190,-48.24,33.2,-17.7,12.5,-24.3,10.34
U 5238,7,1592,-44.6,16.1,-3.1,18.4,-18.4,9.55
0944+39,13,1617,-21.99,0,11.7,21.5,-9.9,9.32
0944-63,5,2618,-33.99,18.1,-30,-2.6,-20.3,0
U 5245,8,1220,-45.38,12.4,-3.4,14.6,-15.2,9.09
0945+33,13,1443,-26.23,0,8.8,20.1,-10.8,9.41
U 5249,6,1695,-43.53,16.2,-2.5,19.9,-19.1,9.8
N 3003,4,1439,-25.79,29.9,8.9,20,-10.6,10.37
N 2985,2,1431,2.64,24.9,17.4,14,1,10.45
0946+55,13,1559,-9.84,3.6,15.9,18.8,-4.3,8.87
0946-74,7,896,-26.62,9.5,-11.7,-3.1,-6.1,0
N 3011,-2,1417,-26.44,7.7,8.3,19.9,-10.7,9.36
N 3023,6,1683,-43.86,22.6,-3.4,19.6,-19.1,10.07
U 5272,10,469,-26.82,3.4,2.2,5.4,-2.9,8.24
N 3020,6,1305,-38.16,18.7,1.4,17.9,-14.1,9.91
N 3026,10,1431,-28.65,14.3,7.2,20.2,-11.7,9.85
N 3021,5,1490,-25.34,11,9.1,20.8,-10.7,9.95
0948+08,10,397,-40.41,1.8,-0.1,4,-3.4,0
0949+01,10,1662,-43.12,12,-3.1,19.7,-18.7,0
N 3038,1,2426,-46.72,27,-20.6,12.9,-25.8,10.57
N 3032,-2,1439,-28.01,15,7.4,20.3,-11.5,9.94
N 3059,5,990,-26.89,19.4,-12.8,-3.2,-6.7,10.09
N 3041,5,1295,-35.44,21.3,2.6,18.4,-13.2,10.1
N 3044,5,1145,-42.61,18.6,-2.4,15,-13.9,10.09
N 3027,7,1211,2.86,22.8,15.1,12.3,1,9.91
N 3031,2,96,0.56,8.3,1,0.9,0,9.51
N 3034,13,352,1.03,15.8,3.9,3.4,0.1,9.96
N 3054,3,1925,-47.06,32,-14.9,13.6,-21.7,10.41
N 3056,-2,768,-46.78,7.8,-7.2,5.7,-9.8,9.4
N 3055,5,1615,-41.14,15.7,-2.2,20.1,-17.7,10.06
0952+08,13,1122,-39.25,6,-0.4,15.8,-12.9,8.85
0953-32,6,2731,-45.83,43.7,-23.3,14.5,-28.3,10.58
U 5340,10,441,-27.5,3.8,1.7,5,-2.7,7.96
0954+33,13,1470,-24.27,6.5,8.8,20.9,-10.2,9.18
U 5349,9,1361,-21.74,14.3,9.4,19.6,-8.7,9.57
N 3067,2,1414,-24.95,12.7,8.1,20.4,-10.2,10.06
0955+13,13,2700,-36.18,0,2,32.5,-23.8,9.8
N 3078,-5,2230,-46.09,20.5,-17.6,15.1,-24.1,10.44
U 5364,10,-25,-25.84,1.3,0.3,0.9,-0.4,7.2
N 3087,-5,2375,-44.79,20.4,-21.3,12.6,-24.6,10.47
N 3081,1,2146,-46.04,20.9,-15.5,16.4,-23.4,10.21
U 5373,10,129,-39.63,2.4,-0.1,1.2,-1,7.9
N 3089,2,2375,-45.66,18.4,-19.1,15.4,-25.1,10.2
N 3073,-5,1132,-8.7,7.3,12,14.8,-2.9,9.4
N 3065,-2,2117,3.17,19.2,24.1,19.8,1.7,10.04
0957-29,5,2197,-45.44,43.2,-18.4,13.9,-23.4,0
N 3066,4,2204,3.15,12.3,24.9,20.5,1.8,9.82
0957-34,7,2613,-44.61,17.7,-23.2,13.7,-26.6,0
N 3095,5,2438,-45.11,45,-20.9,14.2,-25.3,10.58
N 3079,9,1200,-8.54,32.8,12.7,15.6,-3,10.6
U 5391,9,1550,-21.23,14.3,10.2,21.8,-9.3,9.54
U 5393,9,1407,-23.92,14.1,8.2,20.5,-9.8,9.4
N 3077,13,148,0.82,3.2,1.5,1.4,0,8.64
N 3098,-2,1257,-29.04,13.1,4.8,19,-10.9,9.79
1000-05,7,449,-43.02,4.2,-1.6,4.3,-4.2,0
N 3109,10,130,-45.09,9.4,-0.9,0.8,-1.2,8.84
1000-21,7,2806,-45.18,18,-19.1,21.7,-29.1,0
N 3104,10,617,-18.59,8.8,4.1,7.9,-3,9.14
N 3057,8,1717,9.06,19.5,21.1,14.1,4,9.68
1001-26,7,686,-44.92,11.9,-6.4,5.5,-8.5,0
U 5423,10,479,2.1,3.7,6.8,5.9,0.3,8.22
1001-27,5,2533,-44.83,27.2,-20.2,17,-26.2,10.3
U 5425,5,2577,-34.77,11.4,1.7,31.9,-22.2,9.97
1001-64,1,1867,-31.49,17.2,-22.7,-2.1,-14,0
N 3113,8,810,-44.57,12.9,-7.9,6.4,-10,0
N 3115,-2,475,-42.87,11.9,-1.9,4.5,-4.5,9.86
1003+29,13,1341,-25.78,4.8,6.4,20.3,-10.3,9.14
1003-75,5,1517,-25.17,17.7,-19,-5,-9.2,0
N 3136,-5,1391,-29.92,16.8,-17.6,-2.3,-10.2,10.35
U 5455,10,1438,2.47,13.9,17.1,14.8,1,0
